"","alpha_D","alpha_death_hosp","alpha_H","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","p_G_D","p_G_D_CHR","p_H","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","start_date"
"alpha_D",0.115066534641049,-0.0409702431533865,-0.0110245788068604,0.003157086905591,-0.0264428116454425,0.0029962567141702,-0.00168983516744647,0.00104133318624681,-0.00202670320581524,-0.000197115995818058,0.00152289840632164,-0.00817037239492179,0.00987406473093911,0.00962974655588726,0.000466546461371732,0.014339230854262,-0.00332503006119905,-0.0608568203759224,0.00344888068489812,-0.0192008892947199,0.000689190981118307,0.00810116284394278,0.0226090645334503,-0.000582040505751323,-0.00925127287903126,-0.0204570059297249,0.00380071781289341,0.00531165752000068
"alpha_death_hosp",-0.0409702431533865,0.0982320175441616,0.013840879611684,-0.00947494610404082,0.0371029940456029,-0.00251930941239139,0.00152563958122657,-0.00270478627546068,0.00703234552284807,-0.00506910049471873,0.00436725892026677,0.00657840832618316,0.00788203732746827,0.0264549120685107,-4.69981415584579e-05,-0.00383969071321506,0.002791677783232,-0.0303277446375205,-0.00380518719434285,0.0324356387250669,0.00157252924833927,-0.00220103818501657,0.0118862206356965,-0.000931237559077758,0.015665859343648,0.00378082640359838,0.0102018772269945,-0.0212228860114288
"alpha_H",-0.0110245788068604,0.013840879611684,0.0122228625027002,-0.00336482585483303,0.0117456692079488,-0.00214720937640193,0.00107431210257921,-0.0010186446437085,0.000240103453354033,0.000548711061316647,-0.000251925207675345,-0.0010128056695741,-0.0042693027305749,7.2118768047878e-05,-0.000475764110474943,-0.0110021557436969,0.00104040680219842,-0.00524039947057337,0.000290402632149428,0.00561875921386836,-0.000358192578851554,-0.00357369999434642,-0.0153071461183114,-0.00277464350070174,-0.000933906970002581,0.0104929958615983,-0.0083893116306606,-0.00822143719918675
"beta1",0.003157086905591,-0.00947494610404082,-0.00336482585483303,0.00272934457814735,-0.00559671697521673,0.000850481325482668,-0.000606052323506746,0.000794302152910811,-0.00108464581017058,0.000230242562264721,-0.00013319421296663,0.000912652548263796,-0.00852980183261473,-0.00798174349485068,-0.00116006463796187,0.00275348421737218,-0.000142865208721913,0.0296834741187319,0.00141161761277245,-0.00555308750686515,0.000214242698156038,0.000285742687580157,0.00641912684718546,0.00221426498973652,0.00199248600698875,-0.00641098792494031,-0.00113209879632797,0.0071548698904148
"beta2",-0.0264428116454425,0.0371029940456029,0.0117456692079488,-0.00559671697521673,0.0270227240130098,-0.00379754390485134,0.00241152281701939,-0.00255951203996157,0.00431925686658458,-0.00125672394901862,-6.82817092103579e-05,0.00237126879655939,0.0273299349556749,0.0233895718227365,-0.00133964537180143,-0.0110213469620889,0.00100758661608796,-0.0207414696220894,-0.0036247395826629,0.0139422899354461,0.000177678015477576,-0.00648347627817838,-0.0155172056101278,-0.0013652558560548,0.00337814867981101,0.0185257405181337,0.00378574202721289,-0.0122308065305828
"beta3",0.0029962567141702,-0.00251930941239139,-0.00214720937640193,0.000850481325482668,-0.00379754390485134,0.000909415866862479,-0.000547382128260616,0.000494332545173102,-0.000360788229789913,-0.000197117697299381,0.000498861455949499,-0.000113799922994508,-0.00536005153017959,-0.00418631658284299,-0.00010135974824473,0.00284229967642632,-0.000111734028719259,0.00859025779573666,0.000602167118736616,-0.00179929506761217,9.22090231435129e-05,0.00115593320866291,0.00501383750729936,0.00067500306162832,0.000733369192408309,-0.0039300296506063,0.000269715542406398,0.00198493986505831
"beta4",-0.00168983516744647,0.00152563958122657,0.00107431210257921,-0.000606052323506746,0.00241152281701939,-0.000547382128260616,0.000435853262837016,-0.000390968582619899,0.000512124190285197,-4.76605412549189e-06,-0.000170946773445828,-7.69672966400488e-05,0.00406762587132035,0.00358476403655557,8.82892385378218e-05,-0.00147649940655779,-9.60714573635411e-05,-0.00629454330263412,-0.000727521827371815,0.00118415220571232,-9.54487276030942e-06,-0.000779705382597114,-0.00352188224657767,-0.000337634753064228,-0.0004126569933795,0.00281302100096243,0.00041646776610993,-0.00148028882269663
"beta5",0.00104133318624681,-0.00270478627546068,-0.0010186446437085,0.000794302152910811,-0.00255951203996157,0.000494332545173102,-0.000390968582619899,0.00051381566933405,-0.000777154910763193,0.000221891181577748,5.85189316341147e-05,0.000189745278641542,-0.00588191251472342,-0.00387817298458607,-0.000297940662708295,0.0010974673375476,5.69265547445559e-05,0.00959442963354629,0.000685387594683871,-0.00153712692716757,-3.63445621783422e-05,0.000659303153503515,0.00253736116566628,0.000469487971681335,0.000446505129772448,-0.00292097595886709,-0.00115699071019053,0.00193138179857912
"beta6",-0.00202670320581524,0.00703234552284807,0.000240103453354033,-0.00108464581017058,0.00431925686658458,-0.000360788229789913,0.000512124190285197,-0.000777154910763193,0.00253296276335766,-0.00152490045186795,0.00104696267078231,-0.000194158234503617,0.00777925622215276,0.00413241215613204,0.000138103280828488,0.00111418767310015,-0.000565981921207825,-0.00703599496154599,-0.00128670532532396,0.00123225788562151,0.000313078839339555,-0.000960857790053073,0.000276205507783935,0.000467809276158518,0.00108044643919069,0.00355827488042854,0.00494326405323454,-0.00248302634435084
"beta7",-0.000197115995818058,-0.00506910049471873,0.000548711061316647,0.000230242562264721,-0.00125672394901862,-0.000197117697299381,-4.76605412549189e-06,0.000221891181577748,-0.00152490045186795,0.00149397935756051,-0.00133227086352946,-2.02400109744605e-05,0.00121670134985888,0.00169889124098459,0.000149193446116976,-0.00217120484901203,0.000380820183459027,-0.00454334241319341,7.30895844331217e-06,-0.000229884057413564,-0.000286727911899677,1.41005843863942e-05,-0.00401245272164279,-0.000882341448468307,-0.00198235874632405,0.0012323308525743,-0.00327210328181843,0.000401163464437593
"beta8",0.00152289840632164,0.00436725892026677,-0.000251925207675345,-0.00013319421296663,-6.82817092103579e-05,0.000498861455949499,-0.000170946773445828,5.85189316341147e-05,0.00104696267078231,-0.00133227086352946,0.00196611037451905,-0.000568633046249704,-0.0107064472165801,-0.00400993126267743,-0.000604363573375121,0.0029849793735198,-0.000234808865226787,0.0161043791309693,0.000436117991729156,-0.000528772501459768,0.000166286622417469,0.000723634582863623,0.0045900642691022,0.000983878591986143,0.00205440672841469,-0.00250703050384227,0.000912410822111232,-0.000383029792603303
"beta9",-0.00817037239492179,0.00657840832618316,-0.0010128056695741,0.000912652548263796,0.00237126879655939,-0.000113799922994508,-7.69672966400488e-05,0.000189745278641542,-0.000194158234503617,-2.02400109744605e-05,-0.000568633046249704,0.00383008131759244,-0.00447400208399017,0.000624388082526985,-0.00136055653087663,0.00126268696580637,0.000993570892166124,0.0224792803680535,0.000410861801649964,0.000912851959853212,0.000167650030425483,-0.000650591894568488,0.00318506449286413,0.0021897802965606,0.00446737793324671,-0.00268169857068159,0.000313192953026516,0.0030849508475304
"eps",0.00987406473093911,0.00788203732746827,-0.0042693027305749,-0.00852980183261473,0.0273299349556749,-0.00536005153017959,0.00406762587132035,-0.00588191251472342,0.00777925622215276,0.00121670134985888,-0.0107064472165801,-0.00447400208399017,0.376747368267063,0.169626362264287,0.00149019138464351,-0.01455717849558,-0.00465314903247456,-0.406945682258282,-0.0193574857134863,0.01726270176165,0.0010321150311487,-0.00599300432473414,-0.0115779242577983,-0.0136892100185332,-0.0263553652866777,0.0551659262659321,0.0521784962475606,-0.0193643071300288
"m_CHR",0.00962974655588726,0.0264549120685107,7.2118768047878e-05,-0.00798174349485068,0.0233895718227365,-0.00418631658284299,0.00358476403655557,-0.00387817298458607,0.00413241215613204,0.00169889124098459,-0.00400993126267743,0.000624388082526985,0.169626362264287,0.242645721697062,-0.0117412796049785,0.000890919186251852,-0.000827364840395627,-0.266671724885308,-0.0144901676355516,0.0136178397548268,0.00380153502382805,-0.00134400523116555,-0.012922687536415,-0.00320019992188633,-0.0105671245865823,0.0360724288848848,0.0224003225190872,-0.0193485653266546
"m_CHW",0.000466546461371732,-4.69981415584579e-05,-0.000475764110474943,-0.00116006463796187,-0.00133964537180143,-0.00010135974824473,8.82892385378218e-05,-0.000297940662708295,0.000138103280828488,0.000149193446116976,-0.000604363573375121,-0.00136055653087663,0.00149019138464351,-0.0117412796049785,0.00555388388170924,-0.00170361403153411,-0.000216490278484018,-0.0393197853353057,-0.00102392460730391,0.00419027099086321,-0.000338601783203913,0.000995949742073143,-0.00263722355914357,-0.00309884246592031,-0.00347026541854402,-0.000138081137021182,0.00216221833305424,-0.00359493020861671
"mu_D",0.014339230854262,-0.00383969071321506,-0.0110021557436969,0.00275348421737218,-0.0110213469620889,0.00284229967642632,-0.00147649940655779,0.0010974673375476,0.00111418767310015,-0.00217120484901203,0.0029849793735198,0.00126268696580637,-0.01455717849558,0.000890919186251852,-0.00170361403153411,0.0241048225478252,-0.000529530751686914,0.0268177427954112,0.00105864618357151,-0.00919696086557065,0.000691860187612639,0.00526746805298382,0.0203684234736658,0.00436780894134002,0.00406132320848317,-0.0135625195999292,0.00542766585701202,0.00658949760132241
"p_G_D",-0.00332503006119905,0.002791677783232,0.00104040680219842,-0.000142865208721913,0.00100758661608796,-0.000111734028719259,-9.60714573635411e-05,5.69265547445559e-05,-0.000565981921207825,0.000380820183459027,-0.000234808865226787,0.000993570892166124,-0.00465314903247456,-0.000827364840395627,-0.000216490278484018,-0.000529530751686914,0.0017966097457352,0.00811610505584125,0.00049262108589958,0.00174322460643635,-0.000170899623047791,4.64596594386052e-05,-0.00113501975739788,-0.000208077542635736,0.000608618833992617,0.00114873692524779,-0.0018009728761273,-0.000255294928295724
"p_G_D_CHR",-0.0608568203759224,-0.0303277446375205,-0.00524039947057337,0.0296834741187319,-0.0207414696220894,0.00859025779573666,-0.00629454330263412,0.00959442963354629,-0.00703599496154599,-0.00454334241319341,0.0161043791309693,0.0224792803680535,-0.406945682258282,-0.266671724885308,-0.0393197853353057,0.0268177427954112,0.00811610505584125,1.33998163355909,0.0316253658232535,-0.0627241508932765,-0.000206857857056039,-0.00688723169135479,0.0754287489302759,0.0469350901988957,0.0689838383843097,-0.0813820948603886,-0.0504723827207454,0.0828907902400306
"p_H",0.00344888068489812,-0.00380518719434285,0.000290402632149428,0.00141161761277245,-0.0036247395826629,0.000602167118736616,-0.000727521827371815,0.000685387594683871,-0.00128670532532396,7.30895844331217e-06,0.000436117991729156,0.000410861801649964,-0.0193574857134863,-0.0144901676355516,-0.00102392460730391,0.00105864618357151,0.00049262108589958,0.0316253658232535,0.00299260238087009,-0.0037850269800744,-0.000181454753172004,0.000559873162444355,0.00496633720840223,0.00125094696158128,0.00183289573493886,-0.00582171195079625,-0.00435117690191302,0.00363178430071993
"p_H_D",-0.0192008892947199,0.0324356387250669,0.00561875921386836,-0.00555308750686515,0.0139422899354461,-0.00179929506761217,0.00118415220571232,-0.00153712692716757,0.00123225788562151,-0.000229884057413564,-0.000528772501459768,0.000912851959853212,0.01726270176165,0.0136178397548268,0.00419027099086321,-0.00919696086557065,0.00174322460643635,-0.0627241508932765,-0.0037850269800744,0.0256412629985293,-0.000886700451100164,-0.000493546555291688,-0.0126324999163312,-0.00533831199417736,0.000101509689863471,0.00313864617318748,0.00390958091785567,-0.0138998430824385
"p_ICU",0.000689190981118307,0.00157252924833927,-0.000358192578851554,0.000214242698156038,0.000177678015477576,9.22090231435129e-05,-9.54487276030942e-06,-3.63445621783422e-05,0.000313078839339555,-0.000286727911899677,0.000166286622417469,0.000167650030425483,0.0010321150311487,0.00380153502382805,-0.000338601783203913,0.000691860187612639,-0.000170899623047791,-0.000206857857056039,-0.000181454753172004,-0.000886700451100164,0.00112447372780018,-2.06703525616117e-05,0.00501816315909526,0.000569649869934033,0.000982807556244022,-0.000754324575520239,0.00147168179845081,0.000693471613594545
"p_ICU_2",0.00810116284394278,-0.00220103818501657,-0.00357369999434642,0.000285742687580157,-0.00648347627817838,0.00115593320866291,-0.000779705382597114,0.000659303153503515,-0.000960857790053073,1.41005843863942e-05,0.000723634582863623,-0.000650591894568488,-0.00599300432473414,-0.00134400523116555,0.000995949742073143,0.00526746805298382,4.64596594386052e-05,-0.00688723169135479,0.000559873162444355,-0.000493546555291688,-2.06703525616117e-05,0.00425418074031052,0.00904370011414325,-0.000581243279302419,-0.00153293370966096,-0.00625960080957664,0.00128135756802802,-0.000120123950006891
"p_ICU_D",0.0226090645334503,0.0118862206356965,-0.0153071461183114,0.00641912684718546,-0.0155172056101278,0.00501383750729936,-0.00352188224657767,0.00253736116566628,0.000276205507783935,-0.00401245272164279,0.0045900642691022,0.00318506449286413,-0.0115779242577983,-0.012922687536415,-0.00263722355914357,0.0203684234736658,-0.00113501975739788,0.0754287489302759,0.00496633720840223,-0.0126324999163312,0.00501816315909526,0.00904370011414325,0.0866148698587989,0.00755755329464096,0.0125973573629939,-0.0405316059952003,0.0172467652480631,0.017436510098943
"p_NC",-0.000582040505751323,-0.000931237559077758,-0.00277464350070174,0.00221426498973652,-0.0013652558560548,0.00067500306162832,-0.000337634753064228,0.000469487971681335,0.000467809276158518,-0.000882341448468307,0.000983878591986143,0.0021897802965606,-0.0136892100185332,-0.00320019992188633,-0.00309884246592031,0.00436780894134002,-0.000208077542635736,0.0469350901988957,0.00125094696158128,-0.00533831199417736,0.000569649869934033,-0.000581243279302419,0.00755755329464096,0.00467882542884125,0.00582474351626414,-0.00552651994585308,-7.58935439300448e-05,0.00628230187468701
"p_NC_weekend",-0.00925127287903126,0.015665859343648,-0.000933906970002581,0.00199248600698875,0.00337814867981101,0.000733369192408309,-0.0004126569933795,0.000446505129772448,0.00108044643919069,-0.00198235874632405,0.00205440672841469,0.00446737793324671,-0.0263553652866777,-0.0105671245865823,-0.00347026541854402,0.00406132320848317,0.000608618833992617,0.0689838383843097,0.00183289573493886,0.000101509689863471,0.000982807556244022,-0.00153293370966096,0.0125973573629939,0.00582474351626414,0.0124550719266306,-0.0114930561601935,-0.00026180808296044,0.00654732895427737
"p_W_D",-0.0204570059297249,0.00378082640359838,0.0104929958615983,-0.00641098792494031,0.0185257405181337,-0.0039300296506063,0.00281302100096243,-0.00292097595886709,0.00355827488042854,0.0012323308525743,-0.00250703050384227,-0.00268169857068159,0.0551659262659321,0.0360724288848848,-0.000138081137021182,-0.0135625195999292,0.00114873692524779,-0.0813820948603886,-0.00582171195079625,0.00313864617318748,-0.000754324575520239,-0.00625960080957664,-0.0405316059952003,-0.00552651994585308,-0.0114930561601935,0.0632297163215954,0.00175488313849273,-0.0163100795904944
"rho_pillar2_tests",0.00380071781289341,0.0102018772269945,-0.0083893116306606,-0.00113209879632797,0.00378574202721289,0.000269715542406398,0.00041646776610993,-0.00115699071019053,0.00494326405323454,-0.00327210328181843,0.000912410822111232,0.000313192953026516,0.0521784962475606,0.0224003225190872,0.00216221833305424,0.00542766585701202,-0.0018009728761273,-0.0504723827207454,-0.00435117690191302,0.00390958091785567,0.00147168179845081,0.00128135756802802,0.0172467652480631,-7.58935439300448e-05,-0.00026180808296044,0.00175488313849273,0.0276788093663173,-0.00232507680875532
"start_date",0.00531165752000068,-0.0212228860114288,-0.00822143719918675,0.0071548698904148,-0.0122308065305828,0.00198493986505831,-0.00148028882269663,0.00193138179857912,-0.00248302634435084,0.000401163464437593,-0.000383029792603303,0.0030849508475304,-0.0193643071300288,-0.0193485653266546,-0.00359493020861671,0.00658949760132241,-0.000255294928295724,0.0828907902400306,0.00363178430071993,-0.0138998430824385,0.000693471613594545,-0.000120123950006891,0.017436510098943,0.00628230187468701,0.00654732895427737,-0.0163100795904944,-0.00232507680875532,0.0192173050194283
